2026-03-26 03:34:47 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-61dBm rsrp=-94dBm snr=0.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:38:03 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-56dBm rsrp=-95dBm snr=-2.2dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:38:35 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-62dBm rsrp=-95dBm snr=4.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:39:07 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-59dBm rsrp=-95dBm snr=2.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:39:39 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-58dBm rsrp=-94dBm snr=2.0dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:40:12 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-60dBm rsrp=-95dBm snr=3.2dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:40:44 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-60dBm rsrp=-94dBm snr=3.0dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:41:16 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-60dBm rsrp=-95dBm snr=-0.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:41:48 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-58dBm rsrp=-95dBm snr=-2.8dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:42:20 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-59dBm rsrp=-93dBm snr=1.0dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
2026-03-26 03:42:53 | 4G_state=UP 4G_ip=214.148.253.228 4G_ping=OK 4G_signal=GOOD rssi=-58dBm rsrp=-94dBm snr=0.4dB | WiFi_state=UP WiFi_ip=192.168.21.27 WiFi_ping=OK | active=wwan0
